,Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
796,797,PAE,"$2,714.60 ",-0.018,$15.30 ,-,"$1,829.40 ",$839.50 ,31,20000,-,-
797,798,First Solar,"$2,711.30 ",-0.115,$398.40 ,-,"$7,108.90 ","$9,252.60 ",-28,5100,-,-
798,799,Rackspace Technology,"$2,707.10 ",0.11,($245.80),-,"$6,377.80 ","$4,887.30 ",-,7200,-,-
799,800,IDEXX Laboratories,"$2,706.70 ",0.125,$581.80 ,0.36,"$2,294.60 ","$41,899.50 ",87,9300,-,-
800,801,Vontier,"$2,704.60 ",-,$342 ,-,"$3,073 ","$5,101.90 ",-,8400,-,-
801,802,SiteOne Landscape Supply,"$2,704.50 ",0.147,$121.30 ,0.561,"$1,695.70 ","$7,579.50 ",102,4680,-,-
802,803,Laureate Education,"$2,699.50 ",-0.281,($613.30),-1.654,"$4,970.90 ","$2,703.90 ",-137,30000,-,-
803,804,Central Garden & Pet,"$2,695.50 ",0.131,$120.70 ,0.301,"$2,339.40 ","$2,937 ",92,5950,-,-
804,805,Cadence Design Systems,"$2,682.90 ",0.148,$590.60 ,-0.403,"$3,950.80 ","$38,229.90 ",105,8746,-,-
805,806,Stericycle,"$2,675.50 ",-0.191,($57.30),-,"$5,581.90 ","$6,184.50 ",-75,15290,-,-
806,807,Incyte,"$2,666.70 ",0.235,($295.70),-1.662,"$3,560.90 ","$17,866.70 ",146,1773,-,-
807,808,EPAM Systems,"$2,659.50 ",0.159,$327.20 ,0.253,"$2,721.30 ","$22,285.80 ",115,41168,-,-
808,809,Lincoln Electric Holdings,"$2,655.40 ",-0.116,$206.10 ,-0.297,"$2,314.50 ","$7,334.60 ",-26,10700,-,-
809,810,Zoom Video Communications,"$2,651.40 ",3.258,$672.30 ,25.569,"$5,298 ","$94,367.70 ",-,4422,-,-
810,811,H&R Block,"$2,639.70 ",-0.147,($7.50),-1.018,"$5,112 ","$3,955.20 ",-47,42000,-,-
811,812,Kansas City Southern,"$2,632.60 ",-0.081,$617 ,0.145,"$9,964 ","$24,000 ",-1,6522,-,-
812,813,Cabot,"$2,614 ",-0.217,($238),-2.516,"$2,781 ","$2,969 ",-87,4500,-,-
813,814,Brown & Brown,"$2,613.40 ",0.092,$480.50 ,0.206,"$8,966.50 ","$12,958.20 ",79,10843,-,-
814,815,Popular,"$2,603.90 ",-0.08,$506.60 ,-0.245,"$65,926 ","$5,933.50 ",5,8522,-,-
815,816,Fortinet,"$2,594.40 ",0.199,$488.50 ,0.473,"$4,044.50 ","$30,095.70 ",138,8238,-,-
816,817,PC Connection,"$2,590.30 ",-0.081,$55.80 ,-0.321,"$1,015.40 ","$1,214.30 ",5,2598,-,-
817,818,Continental Resources,"$2,586.50 ",-0.442,($596.90),-1.77,"$14,633.10 ","$9,447.60 ",-237,1201,-,-
818,819,Opendoor Technologies,"$2,583.10 ",-0.455,($286.80),-,"$2,175.60 ","$12,231.50 ",-,1048,-,-
819,820,Nu Skin Enterprises,"$2,581.90 ",0.067,$191.40 ,0.103,"$1,957.10 ","$2,689.20 ",64,26000,-,-
820,821,Donaldson,"$2,581.80 ",-0.092,$257 ,-0.038,"$2,244.60 ","$7,335.30 ",-5,12400,-,-
821,822,Hawaiian Electric Industries,"$2,579.80 ",-0.103,$197.80 ,-0.092,"$15,004 ","$4,855.40 ",-12,3702,-,-
822,823,NLV Financial,"$2,573.40 ",-0.072,$193.60 ,-0.134,"$40,351.70 ",-,3,1155,-,-
823,824,Equity Residential,"$2,571.70 ",-0.048,$913.60 ,-0.058,"$20,286.90 ","$26,693.90 ",14,2600,-,-
824,825,Mednax,"$2,564.80 ",-0.27,($796.50),-,"$3,347.90 ","$2,195.40 ",-134,7900,-,-
825,826,MRC Global,"$2,560 ",-0.301,($274),-8.026,"$1,781 ",$746.60 ,-152,2600,-,-
826,827,Overstock.com,"$2,549.80 ",0.747,$56 ,-,$830.20 ,"$3,151.30 ",-,1750,-,-
827,828,Visteon,"$2,548 ",-0.135,($56),-1.8,"$2,271 ","$3,404.30 ",-34,10000,-,-
828,829,Bio-Rad Laboratories,"$2,545.60 ",0.101,"$3,806.30 ",1.164,"$12,972.60 ","$17,046.30 ",88,8000,-,-
829,830,Univision Communications,"$2,541.90 ",-0.06,($23.80),-1.083,"$9,288.10 ",-,7,4500,-,-
830,831,ContextLogic,"$2,541 ",0.337,($745),-,"$2,397 ","$9,764.40 ",-,875,-,-
831,832,Teleflex,"$2,537.20 ",-0.022,$335.30 ,-0.273,"$7,152.60 ","$19,421.80 ",27,14000,-,-
832,833,Cracker Barrel Old Country Store,"$2,522.80 ",-0.179,($32.50),-1.145,"$2,544.30 ","$4,101.60 ",-66,55000,-,-
833,834,Cooper Tire & Rubber,"$2,521.10 ",-0.084,$142.80 ,0.481,"$2,971.60 ","$2,826.20 ",-4,9839,-,-
834,835,ManTech International,"$2,518.40 ",0.133,$120.50 ,0.058,"$2,213.70 ","$3,521.70 ",102,9400,-,-
835,836,Hillenbrand,"$2,517 ",0.393,($60.10),-1.495,"$3,987.40 ","$3,580.80 ",-,11000,-,-
836,837,Middleby,"$2,513.30 ",-0.151,$207.30 ,-0.411,"$5,202.50 ","$9,222.10 ",-46,9289,-,-
837,838,Echo Global Logistics,"$2,511.50 ",0.149,$15.80 ,0.066,$963.90 ,$835.80 ,113,2593,-,-
838,839,Snap,"$2,506.60 ",0.461,($944.80),-,"$5,024.20 ","$78,869.20 ",-,3863,-,-
839,840,Vishay Intertechnology,"$2,501.90 ",-0.062,$122.90 ,-0.25,"$3,154.50 ","$3,485.10 ",6,21600,-,-
840,841,Columbia Sportswear,"$2,501.60 ",-0.178,$108 ,-0.673,"$2,836.60 ","$7,012.40 ",-67,7275,-,-
841,842,Woodward,"$2,495.70 ",-0.139,$240.40 ,-0.074,"$3,903.30 ","$7,605 ",-39,7248,-,-
842,843,MillerKnoll,"$2,486.60 ",-0.031,($9.10),-1.057,"$2,053.90 ","$2,427 ",21,7600,-,-
843,844,Patrick Industries,"$2,486.60 ",0.064,$97.10 ,0.084,"$1,753.40 ","$2,001.20 ",65,8700,-,-
844,845,Generac Holdings,"$2,485.20 ",0.127,$350.60 ,0.391,"$3,235.40 ","$20,584 ",101,6625,-,-
845,846,PROG Holdings,"$2,484.60 ",-0.371,($61.50),-2.953,"$1,317.40 ","$2,931.90 ",-197,1868,-,-
846,847,Euronet Worldwide,"$2,482.70 ",-0.097,($3.40),-1.01,"$4,926.70 ","$7,295.70 ",-16,8100,-,-
847,848,Interactive Brokers Group,"$2,479 ",-0.039,$195 ,0.211,"$95,679 ","$6,634.30 ",14,2033,-,-
848,849,ITT,"$2,477.80 ",-0.129,$72.50 ,-0.777,"$4,277.60 ","$7,863.70 ",-34,9700,-,-
849,850,Align Technology,"$2,471.90 ",0.027,"$1,775.90 ",3.011,"$4,829.70 ","$42,854.30 ",38,18070,-,-
850,851,Enable Midstream Partners,"$2,463 ",-0.168,$88 ,-0.778,"$11,729 ","$2,822.50 ",-61,1706,-,-
851,852,FTI Consulting,"$2,461.30 ",0.046,$210.70 ,-0.028,"$2,777.40 ","$4,797.50 ",54,6321,-,-
852,853,Cooper,"$2,430.90 ",-0.084,$238.40 ,-0.489,"$6,737.50 ","$18,878.40 ",-5,12000,-,-
853,854,Country Financial,"$2,429.30 ",-0.372,$284.40 ,0.7,"$15,133.90 ",-,-198,3346,-,-
854,855,Magellan Midstream Partners,"$2,427.80 ",-0.11,$817 ,-0.2,"$8,197 ","$9,681.50 ",-20,1720,-,-
855,856,Floor & Decor Holdings,"$2,425.80 ",0.186,$195 ,0.294,"$2,880.40 ","$9,988.20 ",127,7593,-,-
856,857,American Equity Investment Life Holding,"$2,424.60 ",-0.3,$671.50 ,1.729,"$71,389.70 ","$3,009 ",-155,656,-,-
857,858,Griffon,"$2,407.50 ",0.09,$53.40 ,0.433,"$2,456 ","$1,534.80 ",86,7400,-,-
858,859,Ensign Group,"$2,402.60 ",0.051,$170.50 ,0.542,"$2,545.60 ","$5,132.60 ",67,24400,-,-
859,860,Texas Roadhouse,"$2,398.10 ",-0.13,$31.30 ,-0.821,"$2,325.20 ","$6,679.30 ",-31,32474,-,-
860,861,Mueller Industries,"$2,398 ",-0.013,$139.50 ,0.382,"$1,528.60 ","$2,361.70 ",22,5007,-,-
861,862,AMN Healthcare Services,"$2,393.70 ",0.077,$70.70 ,-0.38,"$2,353.50 ","$3,477.20 ",77,3000,-,-
862,863,Curtiss-Wright,"$2,391.30 ",-0.039,$201.40 ,-0.345,"$4,021.30 ","$4,853 ",12,8200,-,-
863,864,Match Group,"$2,391.30 ",-0.497,$128.60 ,-0.702,"$2,977 ","$36,951.30 ",-296,1890,-,-
864,865,Fleetcor Technologies,"$2,388.90 ",-0.098,$704.20 ,-0.213,"$11,194.60 ","$22,408.10 ",-16,8400,-,-
865,866,Matson,"$2,383.30 ",0.082,$193.10 ,1.335,"$2,900.60 ","$2,897.10 ",81,4149,-,-
866,867,Gray Television,"$2,381 ",0.122,$410 ,1.291,"$7,643 ","$1,748.10 ",95,7140,-,-
867,868,II-VI,"$2,380.10 ",0.747,($67),-1.623,"$5,234.70 ","$7,167.10 ",-,22969,-,-
868,869,Ashland Global Holdings,"$2,377 ",-0.322,($508),-2.006,"$6,877 ","$5,385.40 ",-175,4500,-,-
869,870,Cooper-Standard Holdings,"$2,375.40 ",-0.236,($267.60),-4.963,"$2,611.90 ",$613.70 ,-111,26550,-,-
870,871,Werner Enterprises,"$2,372.20 ",-0.037,$169.10 ,0.013,"$2,156.70 ","$3,208 ",9,12292,-,-
871,872,Playtika Holding,"$2,371.50 ",0.256,$92.10 ,-0.681,"$1,776.20 ","$11,145.30 ",-,3800,-,-
872,873,LGI Homes,"$2,367.90 ",0.288,$323.90 ,0.813,"$1,826.10 ","$3,712.40 ",-,938,-,-
873,874,Waters,"$2,365.40 ",-0.017,$521.60 ,-0.119,"$2,839.90 ","$17,671.30 ",15,7412,-,-
874,875,Lyft,"$2,364.70 ",-0.346,"($1,752.90)",-,"$4,679 ","$20,781.80 ",-195,4675,-,-
875,876,Healthpeak Properties,"$2,364 ",0.184,$413.60 ,8.083,"$15,920.10 ","$17,103.80 ",122,217,-,-
876,877,Winnebago Industries,"$2,355.50 ",0.186,$61.40 ,-0.45,"$1,713.70 ","$2,577.50 ",-,5505,-,-
877,878,Knights of Columbus,"$2,353.30 ",-0.014,$95 ,-0.359,"$27,658.10 ",-,17,750,-,-
878,879,SLM,"$2,353.10 ",-0.011,$880.70 ,0.523,"$30,770.40 ","$6,535.20 ",19,1600,-,-
879,880,Valvoline,"$2,353 ",-0.015,$317 ,0.524,"$3,051 ","$4,729.70 ",14,8800,-,-
880,881,IDEX,"$2,351.60 ",-0.057,$377.80 ,-0.112,"$4,414.40 ","$15,891.60 ",-8,7075,-,-
881,882,F5 Networks,"$2,350.80 ",0.048,$307.40 ,-0.281,"$4,677.90 ","$12,861.60 ",50,6109,-,-
882,883,GEO Group,"$2,350.10 ",-0.052,$113 ,-0.322,"$4,460.10 ",$941.30 ,-5,20000,-,-
883,884,BrightView Holdings,"$2,346 ",-0.024,($41.60),-1.937,"$3,071 ","$1,773.80 ",7,19900,-,-
884,885,Hovnanian Enterprises,"$2,343.90 ",0.162,$50.90 ,-,"$1,827.30 ",$650.50 ,106,1697,-,-
885,886,Sprague Resources,"$2,336 ",-0.333,$33.80 ,0.082,"$1,199.40 ",$502.30 ,-190,765,-,-
886,887,Summit Materials,"$2,332.50 ",0.05,$138 ,1.336,"$4,308 ","$3,216.60 ",51,6000,-,-
887,888,MKS Instruments,"$2,330 ",0.226,$350.10 ,1.494,"$3,903.80 ","$10,245.40 ",-,5600,-,-
888,889,Arista Networks,"$2,317.50 ",-0.039,$634.60 ,-0.262,"$4,738.90 ","$23,043.70 ",-3,2613,-,-
889,890,Alexandria Real Estate Equities,"$2,315.10 ",0.334,$771 ,1.123,"$22,827.90 ","$22,458.60 ",-,470,-,-
890,891,Synovus Financial,"$2,311 ",-0.04,$373.70 ,-0.337,"$54,394.20 ","$6,800.50 ",-1,5134,-,-
891,892,Viasat,"$2,309.20 ",0.117,($0.20),-,"$4,883.90 ","$3,294.20 ",80,6100,-,-
892,893,Southwestern Energy,"$2,308 ",-0.24,"($3,112)",-4.493,"$5,160 ","$3,136.20 ",-117,900,-,-
893,894,People's United Financial,"$2,307.70 ",-0.002,$219.60 ,-0.578,"$63,091.80 ","$7,632.10 ",22,5814,-,-
894,895,Hilltop Holdings,"$2,306.90 ",0.267,$447.80 ,0.988,"$16,944.30 ","$2,805.10 ",-,4925,-,-
895,896,AvalonBay Communities,"$2,301.30 ",-0.01,$827.60 ,0.053,"$19,199.10 ","$25,744.20 ",16,3028,-,-
896,897,Federated Mutual Insurance,"$2,290.20 ",0.073,$198.20 ,-0.137,"$9,574.50 ",-,62,2689,-,-
897,898,Stewart Information Services,"$2,288.40 ",0.18,$154.90 ,0.97,"$1,978.60 ","$1,392 ",-,5800,-,-
898,899,Evercore,"$2,285.30 ",0.126,$350.60 ,0.179,"$3,370.90 ","$5,536.10 ",89,1791,-,-
899,900,Envista Holdings,"$2,282 ",-,$33.30 ,-,"$6,876 ","$6,531.40 ",-,12400,-,-
900,901,TCF Financial,"$2,281.70 ",0.112,$222.80 ,-0.246,"$47,802.50 ","$7,090 ",78,6833,-,-
901,902,REV Group,"$2,277.60 ",-0.052,($30.50),-,"$1,312.30 ","$1,236.20 ",-10,7060,-,-
902,903,Calumet Specialty Products Partners,"$2,268.20 ",-0.343,($149),-,"$1,808.30 ",$479.70 ,-198,1400,-,-
903,904,Crestwood Equity Partners,"$2,254.30 ",-0.292,($56.10),-1.197,"$5,243.70 ","$2,074.60 ",-156,731,-,-
904,905,TTM Technologies,"$2,249.30 ",-0.164,$177.50 ,3.299,"$2,895.90 ","$1,550.10 ",-64,16700,-,-
905,906,MYR Group,"$2,247.40 ",0.085,$58.80 ,0.559,$995.90 ,"$1,203.20 ",65,7200,-,-
906,907,Designer Brands,"$2,234.70 ",-0.36,($488.70),-6.172,"$1,976.60 ","$1,259.80 ",-209,11400,-,-
907,908,Splunk,"$2,229.40 ",-0.055,($908),-,"$5,868.50 ","$22,196.90 ",-5,6500,-,-
908,909,Primerica,"$2,217.50 ",0.08,$386.20 ,0.054,"$14,905.30 ","$5,826.20 ",71,2528,-,-
909,910,Copart,"$2,205.60 ",0.08,$699.90 ,0.183,"$3,455.30 ","$25,666.40 ",74,7600,-,-
910,911,CDK Global,"$2,195.10 ",-0.059,$207.50 ,0.673,"$2,854.10 ","$6,582.10 ",-,9000,-,-
911,912,Maxim Integrated Products,"$2,191.40 ",-0.053,$654.70 ,-0.209,"$3,629.30 ","$24,490.90 ",3,7115,-,-
912,913,Kar Auction Services,"$2,187.70 ",-0.376,$0.50 ,-0.997,"$6,798.20 ","$1,945.50 ",-220,9400,-,-
913,914,Ohio National Mutual,"$2,181.80 ",-0.068,-,-,"$41,091 ",-,-6,1082,-,-
914,915,Carpenter Technology,"$2,181.10 ",-0.084,$1.50 ,-0.991,"$3,227.20 ","$1,976.30 ",-18,4600,-,-
915,916,Boyd Gaming,"$2,178.50 ",-0.345,($134.70),-1.855,"$6,558.90 ","$6,608.30 ",-188,14284,-,-
916,917,Unisys,"$2,175.80 ",-0.262,$750.70 ,-,"$2,707.90 ","$1,702.60 ",-124,17200,-,-
917,918,Seagen,"$2,175.50 ",1.373,$613.70 ,-,"$4,000.90 ","$25,176.10 ",-,2092,-,-
918,919,Itron,"$2,173.40 ",-0.132,($58),-2.183,"$2,607 ","$4,000 ",-49,6451,-,-
919,920,Kirby,"$2,171.40 ",-0.235,($272.50),-2.915,"$5,924.20 ","$3,622 ",-102,5400,-,-
920,921,Rollins,"$2,161.20 ",0.072,$260.80 ,0.283,"$1,845.90 ","$16,939.10 ",72,15616,-,-
921,922,Travel + Leisure,"$2,160 ",-0.466,($255),-1.503,"$7,613 ","$5,255.60 ",-282,15500,-,-
922,923,Terminix Global Holdings,"$2,159 ",0.039,$551 ,3.305,"$4,837 ","$6,285.80 ",44,11400,-,-
923,924,Franchise Group,"$2,152.50 ",7.11,$25.10 ,-,"$1,837.70 ","$1,447.80 ",-,6421,-,-
924,925,West Pharmaceutical Services,"$2,146.90 ",0.167,$346.20 ,0.432,"$2,793.80 ","$20,809.50 ",-,9200,-,-
925,926,Portland General Electric,"$2,145 ",0.01,$155 ,-0.276,"$9,069 ","$4,252.20 ",35,3639,-,-
926,927,Flagstar Bancorp,"$2,144 ",0.527,$538 ,1.468,"$31,038 ","$2,375.80 ",-,5214,-,-
927,928,Renewable Energy Group,"$2,137.10 ",-0.191,$122.80 ,-0.677,"$1,461.40 ","$2,977.40 ",-77,895,-,-
928,929,Deckers Outdoor,"$2,132.70 ",0.056,$276.10 ,0.045,"$1,765.10 ","$9,307.90 ",60,3600,-,-
929,930,SkyWest,"$2,127.10 ",-0.284,($8.50),-1.025,"$6,887.60 ","$2,740.60 ",-142,12502,-,-
930,931,Beazer Homes USA,"$2,127.10 ",0.019,$52.20 ,-,"$2,007.50 ",$653.60 ,34,1063,-,-
931,932,BWX Technologies,"$2,123.50 ",0.121,$278.70 ,0.142,"$2,293.50 ","$6,273.60 ",-,6700,-,-
932,933,OGE Energy,"$2,122.30 ",-0.049,($173.70),-1.401,"$10,718.80 ","$6,472.70 ",1,2360,-,-
933,934,Nordson,"$2,121.10 ",-0.033,$249.50 ,-0.26,"$3,674.70 ","$11,540.50 ",15,7555,-,-
934,935,Caleres,"$2,117.10 ",-0.275,($439.10),-7.99,"$1,867.10 ",$827.30 ,-138,6650,-,-
935,936,BOK Financial,"$2,112.90 ",-0.051,$435 ,-0.131,"$46,671.10 ","$6,212.10 ",-,4915,-,-
936,937,AAR,"$2,112.40 ",-0.016,$4.40 ,-0.413,"$2,079 ","$1,471.10 ",19,5400,-,-
937,938,Apollo Global Management,"$2,110.90 ",-0.329,$156.60 ,-0.814,"$23,669.10 ","$10,904.70 ",-184,1729,-,-
938,939,Amedisys,"$2,105.90 ",0.077,$183.60 ,0.448,"$1,567.20 ","$8,698 ",-,21000,-,-
939,940,Wynn Resorts,"$2,095.90 ",-0.683,"($2,067.20)",-17.809,"$13,869.50 ","$14,497.80 ",-486,27500,-,-
940,941,Hain Celestial Group,"$2,084.30 ",-0.231,($80.40),-,"$2,188.50 ","$4,356 ",-105,4287,-,-
941,942,SBA Communications,"$2,083.10 ",0.034,$24.10 ,-0.836,"$9,158 ","$30,343 ",52,1483,-,-
942,943,Allison Transmission Holdings,"$2,081 ",-0.229,$299 ,-0.505,"$4,477 ","$4,536.90 ",-104,3300,-,-
943,944,Chemed,"$2,079.60 ",0.073,$319.50 ,0.453,"$1,434.90 ","$7,372.20 ",-,15544,-,-
944,945,Aerojet Rocketdyne Holdings,"$2,072.70 ",0.046,$137.70 ,-0.023,"$2,899.90 ","$3,758.60 ",-,4969,-,-
945,946,Hyatt Hotels,"$2,066 ",-0.588,($703),-1.918,"$9,129 ","$8,377.50 ",-400,37000,-,-
946,947,LHC Group,"$2,063.20 ",-0.008,$111.60 ,0.166,"$2,483.40 ","$6,041.20 ",19,21150,-,-
947,948,BGC Partners,"$2,056.70 ",-0.023,$48.90 ,0.028,"$3,949.30 ","$1,785.20 ",15,4950,-,-
948,949,G-III Apparel Group,"$2,055.10 ",-0.35,$23.50 ,-0.836,"$2,436.40 ","$1,458.10 ",-197,3050,-,-
949,950,Benchmark Electronics,"$2,053.10 ",-0.095,$14.10 ,-0.4,"$1,744.20 ","$1,123.20 ",-20,11234,-,-
950,951,Affiliated Managers Group,"$2,027.50 ",-0.095,$202.20 ,11.879,"$7,888.90 ","$6,352 ",-18,3900,-,-
951,952,CoreLogic,"$2,016.70 ",0.144,$301.40 ,5.103,"$4,283.20 ","$5,830.50 ",-,5300,-,-
952,953,Air Lease,"$2,015.40 ",-0.001,$516.30 ,-0.121,"$25,215.20 ","$5,590.50 ",39,120,-,-
953,954,NewMarket,"$2,010.90 ",-0.082,$270.60 ,0.064,"$1,933.90 ","$4,154.40 ",-4,2105,-,-
954,955,Trinity Industries,"$1,999.40 ",-0.335,($147.30),-2.07,"$8,701.80 ","$3,161.60 ",-174,6375,-,-
955,956,Amneal Pharmaceuticals,"$1,992.50 ",0.225,$91.10 ,-,"$4,006 ","$2,022.70 ",-,6000,-,-
956,957,Americold Realty Trust,"$1,987.70 ",0.114,$24.50 ,-0.49,"$7,831.20 ","$9,708.50 ",-,16300,-,-
957,958,Bruker,"$1,987.50 ",-0.041,$157.80 ,-0.2,"$3,049 ","$9,742.60 ",10,7400,-,-
958,959,Cheesecake Factory,"$1,983.20 ",-0.201,($253.40),-2.99,"$2,747.10 ","$2,715.40 ",-83,42500,-,-
959,960,Zurn Water Solutions,"$1,980.10 ",-0.038,$146.70 ,-0.262,"$3,041.10 ","$5,632.60 ",-8,6570,-,-
960,961,Korn Ferry,"$1,977.30 ",0.002,$104.90 ,0.022,"$2,743.80 ","$3,368.40 ",-,8198,-,-
961,962,Modine Manufacturing,"$1,975.50 ",-0.107,($2.20),-1.026,"$1,536.10 ",$759.50 ,-19,11300,-,-
962,963,Zynga,"$1,974.80 ",0.494,($429.40),-11.242,"$6,206.50 ","$11,057.40 ",-,2245,-,-
963,964,Belden,"$1,971.90 ",-0.209,($55.20),-,"$3,139.70 ","$1,981.40 ",-90,6300,-,-
964,965,Murphy Oil,"$1,971.40 ",-0.53,"($1,148.80)",-1.999,"$10,620.90 ","$2,532.30 ",-340,675,-,-
965,966,Range Resources,"$1,968.70 ",-0.304,($711.80),-,"$6,136.90 ","$2,671 ",-145,533,-,-
966,967,B&G Foods,"$1,967.90 ",0.185,$132 ,0.728,"$3,767.60 ","$2,010.40 ",-,3207,-,-
967,968,Vail Resorts,"$1,963.70 ",-0.136,$98.80 ,-0.672,"$5,244.20 ","$11,741.10 ",-39,25400,-,-
968,969,Five Below,"$1,962.10 ",0.062,$123.40 ,-0.295,"$2,314.80 ","$10,677.20 ",-,12050,-,-
969,970,First Citizens BancShares,"$1,960.80 ",0.077,$491.70 ,0.075,"$49,957.70 ","$8,148.20 ",-,6587,-,-
970,971,HNI,"$1,955.40 ",-0.13,$41.90 ,-0.621,"$1,418 ","$1,698.50 ",-40,7600,-,-
971,972,New Jersey Resources,"$1,953.70 ",-0.246,$193.90 ,0.144,"$5,569.80 ","$3,837.50 ",-112,1156,-,-
972,973,Edgewell Personal Care,"$1,949.70 ",-0.089,$67.60 ,-,"$3,540.90 ","$2,149.40 ",-15,5800,-,-
973,974,TTEC Holdings,"$1,949.20 ",0.186,$118.60 ,0.538,"$1,516.40 ","$4,695 ",-,61000,-,-
974,975,Arcosa,"$1,935.60 ",0.114,$106.60 ,-0.059,"$2,646.70 ","$3,135.70 ",-,6410,-,-
975,976,DexCom,"$1,926.70 ",0.305,$493.60 ,3.882,"$4,290.50 ","$34,755.10 ",-,5950,-,-
976,977,Green Plains,"$1,923.70 ",-0.37,($108.80),-,"$1,578.90 ","$1,208.80 ",-204,839,-,-
977,978,Teledyne FLIR,"$1,923.70 ",0.019,$212.60 ,0.239,"$3,252.30 ","$7,411 ",-,4179,-,-
978,979,E.W. Scripps,"$1,915.10 ",0.345,$269.30 ,-,"$4,859.40 ","$1,585.50 ",-,5400,-,-
979,980,Dropbox,"$1,913.90 ",0.152,($256.30),-,"$2,387.20 ","$11,056.40 ",-,2760,-,-
980,981,Universal,"$1,910 ",-0.142,$71.70 ,-0.312,"$2,120.90 ","$1,446.10 ",-46,24000,-,-
981,982,CoreCivic,"$1,905.50 ",-0.038,$54.20 ,-0.713,"$3,709.30 ","$1,088.40 ",-,12415,-,-
982,983,Newmark Group,"$1,905 ",-0.141,$80.10 ,-0.318,"$3,982.50 ","$1,834.60 ",-42,5742,-,-
983,984,Revlon,"$1,904.30 ",-0.213,($619),-,"$2,527.70 ",$657.70 ,-99,6000,-,-
984,985,Covanta Holding,"$1,904 ",0.018,($28),-3.8,"$3,706 ","$1,829.30 ",-,4000,-,-
985,986,ChampionX,"$1,900 ",0.68,($743.90),-15.261,"$3,475.80 ","$4,368.10 ",-,6600,-,-
986,987,EchoStar,"$1,887.90 ",-0.1,($40.20),-,"$7,073.40 ","$2,230.70 ",-23,2400,-,-
987,988,Kennametal,"$1,885.30 ",-0.206,($5.70),-1.023,"$3,037.60 ","$3,338.80 ",-89,8989,-,-
988,989,Valhi,"$1,878.10 ",-0.031,$55.20 ,0.122,"$2,889.30 ",$579.90 ,-,2784,-,-
989,990,Guess,"$1,876.50 ",-0.299,($81.20),-1.846,"$2,465.90 ","$1,495.20 ",-147,11000,-,-
990,991,Harsco,"$1,874.10 ",0.035,($26.30),-1.052,"$2,993.30 ","$1,354.70 ",-,11900,-,-
991,992,Stepan,"$1,869.80 ",0.006,$126.80 ,0.229,"$1,752.30 ","$2,858.90 ",-,2293,-,-
992,993,Clearwater Paper,"$1,868.60 ",0.061,$77.10 ,-,"$1,800.40 ",$624.70 ,-,3340,-,-
993,994,Live Nation Entertainment,"$1,861.20 ",-0.839,"($1,724.50)",-25.675,"$10,589.30 ","$18,457.70 ",-719,8200,-,-
994,995,BioMarin Pharmaceutical,"$1,860.50 ",0.092,$859.10 ,-,"$5,848 ","$13,730 ",-,3059,-,-
995,996,Surgery Partners,"$1,860.10 ",0.016,($116.10),-,"$5,413.20 ","$2,649.40 ",-,9950,-,-
996,997,Entegris,"$1,859.30 ",0.169,$295 ,0.157,"$2,917.70 ","$15,120.70 ",-,5800,-,-
997,998,Sleep Number,"$1,856.60 ",0.093,$139.20 ,0.701,$800.10 ,"$3,560.30 ",-,4625,-,-
998,999,Spire,"$1,855.40 ",-0.05,$88.60 ,-0.52,"$8,241.20 ","$3,817.50 ",-,3583,-,-
999,1000,Clear Channel Outdoor Holdings,"$1,854.60 ",-0.309,($582.70),-,"$5,755.30 ",$842.10 ,-158,4800,-,-