,State,Pop1990,Pop2000,Pop2010,Pop2020,Pop2022
0,Alabama,4040389,4447207,4779736,5024356,5074296
1,Alaska,550043,626933,710231,733378,733583
2,Arizona,3665339,5130247,6392017,7151507,7359197
3,Arkansas,2350624,2673293,2915918,3011555,3045637
4,California,29811427,33871653,37253956,39538245,39029342
5,Colorado,3294473,4302086,5029196,5773733,5839926
6,Connecticut,3287116,3405650,3574097,3605942,3626205
7,Delaware,666168,783559,897934,989957,1018396
8,District of Columbia,606900,572086,601723,689546,671803
9,Florida,12938071,15982571,18801310,21538226,22244823
10,Georgia,6478149,8186653,9687653,10711937,10912876
11,Hawaii,1108229,1211497,1360301,1455273,1440196
12,Idaho,1006734,1293957,1567582,1839092,1939033
13,Illinois,11430602,12419927,12830632,12812545,12582032
14,Indiana,5544156,6080827,6483802,6785668,6833037
15,Iowa,2776831,2926538,3046355,3190372,3200517
16,Kansas,2477588,2688925,2853118,2937847,2937150
17,Kentucky,3686892,4042193,4339367,4505893,4512310
18,Louisiana,4221826,4469035,4533372,4657749,4590241
19,Maine,1227928,1274779,1328361,1362341,1385340
20,Maryland,4780753,5296647,5773552,6177213,6164660
21,Massachusetts,6016425,6349364,6547629,7029949,6981974
22,Michigan,9295287,9938823,9883640,10077325,10034113
23,Minnesota,4375665,4919631,5303925,5706504,5717184
24,Mississippi,2575475,2844754,2967297,2961288,2940057
25,Missouri,5116901,5596564,5988927,6154920,6177957
26,Montana,799065,902200,989415,1084197,1122867
27,Nebraska,1578417,1711230,1826341,1961489,1967923
28,Nevada,1201675,1998250,2700551,3104624,3177772
29,New Hampshire,1109252,1235807,1316470,1377518,1395231
30,New Jersey,7747750,8414764,8791894,9289031,9261699
31,New Mexico,1515069,1819017,2059179,2117527,2113344
32,New York,17990778,18977026,19378102,20201230,19677151
33,North Carolina,6632448,8046346,9535483,10439414,10698973
34,North Dakota,638800,642237,672591,779091,779261
35,Ohio,10847115,11353336,11536504,11799374,11756058
36,Oklahoma,3145576,3450451,3751351,3959346,4019800
37,Oregon,2842337,3421524,3831074,4237291,4240137
38,Pennsylvania,11882842,12280548,12702379,13002689,12972008
39,Rhode Island,1003464,1048259,1052567,1097371,1093734
40,South Carolina,3486310,4012023,4625364,5118429,5282634
41,South Dakota,696004,754858,814180,886677,909824
42,Tennessee,4877203,5689427,6346105,6910786,7051339
43,Texas,16986335,20851028,25145561,29145428,30029572
44,Utah,1722850,2233183,2763885,3271614,3380800
45,Vermont,562758,608613,625741,643085,647064
46,Virginia,6189197,7079057,8001024,8631384,8683619
47,Washington,4866669,5894281,6724540,7705247,7785786
48,West Virginia,1793477,1808193,1852994,1793755,1775156
49,Wisconsin,4891954,5363757,5686986,5893725,5892539
50,Wyoming,453589,493786,563626,576837,581381
51,Puerto Rico,3522037,3808605,3725789,3285874,3221789